ID,NODE_MINUTES,NODES,EXECUTIONSTART,SHOTS,RESENTSHOTS,RESTART,SCNAME,NTHREADS,NCPU,ATTR01,ATTR02,ATTR03,ATTR04,ATTR05,ATTR06,ATTR07,ATTR08,ATTR09,ATTR10,ATTR11,ATTR12,ATTR13,ATTR14,ATTR15,ATTR16,ATTR17,ATTR18,ATTR19,ATTR20,ATTR21,ATTR22,ATTR23,ATTR24,ATTR25,ATTR26,ATTR27,ATTR28,ATTR29,ATTR20,ATTR31,ATTR32,ATTR33,ATTR34,ATTR35,ATTR36,ATTR37,ATTR38,ATTR39,ATTR30,ATTR31,ATTR32
376782593,4913,24,7/26/2018 9:07,52,0,F,center_2,1,4,?,?,tamrec,?,?,18,?,0,0,3306,0,0,0,0,0,0,416,416,0,333,130.107,0,0,0,51,0,0,0,0,0,0,0,16803991,1.67973E+11,282,8,2251,0,0,0,0,0
375480741,1286,8,7/26/2018 9:07,210,0,F,center_9,1,2,?,?,?,?,?,0,?,0,0,4314,0,0,0,0,0,0,160,160,0,594,70.234,0,0,0,110,0,0,0,0,0,0,0,1530606,7071663652,133,8,1063,0,0,0,0,0
376782595,2753,24,7/26/2018 9:10,51,0,F,center_2,1,4,?,?,tamrec,?,?,18,?,0,0,3306,0,0,0,0,0,0,416,416,0,333,129.427,0,0,0,51,0,0,0,0,0,0,0,16298211,1.62917E+11,282,8,2251,0,0,0,0,0
375480743,1688,8,7/26/2018 9:11,210,0,F,center_10,1,4,?,?,?,?,?,0,?,0,0,4314,0,0,0,0,0,0,160,160,0,594,70.291,0,0,0,110,0,0,0,0,0,0,0,1677470,7750268485,133,8,1063,0,0,0,0,0
375480744,1176,8,7/26/2018 9:12,143,0,F,center_10,1,4,?,?,?,?,?,0,?,0,0,4314,0,0,0,0,0,0,160,160,0,594,66.415,0,0,0,110,0,0,0,0,0,0,0,1162489,5370856603,133,8,1063,0,0,0,0,0
375480742,844,8,7/26/2018 9:14,139,0,F,center_12,1,4,?,?,?,?,?,0,?,0,0,4314,0,0,0,0,0,0,160,160,0,594,66.47,0,0,0,110,0,0,0,0,0,0,0,1078028,4980014579,133,8,1063,0,0,0,0,0
376637750,3668,16,7/26/2018 9:14,422,0,F,center_2,1,4,?,?,?,?,tamboth,19,?,0,0,2573,0,0,0,0,0,0,384,384,0,248,65.863,0,0,0,40,0,0,0,0,0,0,0,2766704,10944650412,55,16,876,0,0,0,0,0
375480745,1718,8,7/26/2018 9:18,210,0,F,center_10,1,4,?,?,?,?,?,0,?,0,0,4314,0,0,0,0,0,0,160,160,0,594,70.028,0,0,0,110,0,0,0,0,0,0,0,1706094,7882338729,133,8,1063,0,0,0,0,0
375480783,1636,8,7/26/2018 9:18,202,0,F,center_10,1,4,?,?,?,?,?,0,?,0,0,4314,0,0,0,0,0,0,160,160,0,594,69.657,0,0,0,110,0,0,0,0,0,0,0,1567465,7241314861,133,8,1063,0,0,0,0,0
375480781,1666,8,7/26/2018 9:18,202,0,F,center_10,1,4,?,?,?,?,?,0,?,0,0,4314,0,0,0,0,0,0,160,160,0,594,69.686,0,0,0,110,0,0,0,0,0,0,0,1650580,7625714434,133,8,1063,0,0,0,0,0
